Key,Czech
grave.generic_7,Zaživa byl tento lord vzorem víry a ctnosti. Kéž Matka Sofie přijme jeho duši.
grave.generic_8,"Zde leží člověk, který byl světlem pro mnohé a jehož světlo ve vzpomínkách lidu nikdy nepohasne."
grave.generic_9,"Netvař se tak vážně, teď jsi na řadě ty!"
grave.generic_10,"Zde leží člověk, který si až příliš zahrával s osudem."
grave.generic_11,"Tento šlechetný lord chtěl odejít do lepšího světa, ale nejspíš se tam vydal špatnou cestou."
grave.generic_12,"Tento šlechetný lord se kdysi probudil s kocovinou, kterou nedokázal přežít."
grave.generic_13,Poslední slova zesnulého: „Všechno bude určitě v pořádku!“
grave.generic_14,"Zde leží člověk, který tolik miloval hostiny... zejména tu poslední."
grave.generic_15,"Zde leží člověk, který prohrál kostky se smrtí."
grave.generic_16,"Život byl jako loutna – spousta strun, ale ani jedna správná nota."
grave.generic_17,"Zde leží lord, který vždy říkal: „Já se nebojím!“ Ale bát se měl."
grave.generic_18,"Zde leží člověk, který si myslel, že život je jen hra."
grave.generic_19,"Zde leží člověk, který rád hrál kostky... až do té poslední hry."
grave.generic_20,Tento šlechetný lord toho věděl příliš... a to se mu stalo osudným.
grave.generic_21,"Zde leží člověk, který řekl: „Žádný strach. Vím, co dělám.“"
grave.generic_22,Zkoušet sílu zbroje na vlastním těle je špatný nápad.
grave.generic_23,"Zde leží člověk, který příliš miloval dobrodružství."
grave.generic_24,"Zde leží člověk, který svůj život zasvětil službě Matce Sofie a ostatním."
grave.generic_25,"Světská cesta skončila, ale věčnost díky Matce Sofie čeká."
grave.generic_26,"Kéž odpočívá v pokoji jako opravdový panovník, který bojoval za čest a spravedlnost."
letter.inquisition_go_to_purge,S těžkým srdcem dlouho pozorujeme tvůj sestup to propasti hříchu... Dále už to bohužel nemůže pokračovat a kvůli všem Sofiiným dětem jsme nuceni podrobit tebe i tvé poddané očistnému ohni. Přísný otec už se pomodlil za tvou duši a svolal své věrné bratry z inkvizice.
mind.enemy_grave_visited,Po návštěvě hrobu nepřítele
work.executor,Popravčí
mind.caprice,Nesplněný sen
mind.caprice_success,Splněný sen
display_event.obession_appear,{name}: nová posedlost.
options_menu.graphics.display_scars,Zobrazovat jizvy
building.menu.gallows_culture_terror,Lordi z této kultury si zhorší vztahy s králem o {mind_strength}.
opinion_mind.culture_terror,Teror proti mé kultuře
display_event.lords_against_terror,Lordi jsou nespokojení kvůli teroru vůči kultuře {culture}.
name.nickname_1,Bezedný chřtán
name.nickname_2,Rudý nos
name.nickname_3,Hromdopole
name.nickname_4,Pán piva
name.nickname_5,Pivní rytíř
name.nickname_6,Všechlasta
name.nickname_7,Skočdořeči
name.nickname_8,Tanečník
name.nickname_9,Veselý chlápek
name.nickname_10,Žlutá kůže
name.nickname_11,Mžoural
name.nickname_12,Žlutý veselý chlápek
name.nickname_13,Mlžný pán
name.nickname_14,Přítel nektaru
name.nickname_15,Dejsemflašku
name.nickname_16,Žlutý běžec
name.nickname_17,Špinavý obvaz
name.nickname_18,Šílenec
name.nickname_19,Nektarová krev
name.nickname_20,Rychlonožka
name.nickname_21,Zaječí duše
name.nickname_22,Rucevzhůru
name.nickname_23,Nohyvzhůru
name.nickname_24,Zbabělý ježek
name.nickname_25,Vrabčák
name.nickname_26,Přizdistál
name.nickname_27,Myška
name.nickname_28,Ocas mezi nohama
name.nickname_29,Obávaná pěst
name.nickname_30,Chmurný meč
name.nickname_31,Statečné srdce
name.nickname_32,Lví duše
name.nickname_33,Odvážný duch
name.nickname_34,Pevná ruka
name.nickname_35,Nebojácný válečník
name.nickname_36,Silný úder
name.nickname_37,Mistr
name.nickname_38,Včela
name.nickname_39,Bič
name.nickname_40,Zhouba lenochů
name.nickname_41,Budil
name.nickname_42,Chytrolín
name.nickname_43,Knihomol
name.nickname_44,Papírník
name.nickname_45,Všeználek
name.nickname_46,Knihovník
name.nickname_47,Velké čelo
name.nickname_48,Moudrý lord
name.nickname_49,Magistr
name.nickname_50,Gramatik
name.nickname_51,Učitel
name.nickname_52,Znalec
name.nickname_53,Moudrý had
name.nickname_54,Mentor
name.nickname_55,Studnice vědění
name.nickname_56,Soudce
name.nickname_57,Neplatič
name.nickname_58,Muž zákona
name.nickname_59,Zhouba zlodějů
name.nickname_60,Mistr šibenice
name.nickname_61,Tyran
name.nickname_62,Železná ruka
name.nickname_63,Popravčí
name.nickname_64,Krvavé ruce
name.nickname_65,Krvesaj
name.nickname_66,Oprátka
name.nickname_67,Krvežíznivá zrůda
name.nickname_68,Šibenice
name.nickname_69,Duelista
name.nickname_70,Zlá čepel
name.nickname_71,Volání smrti
name.nickname_72,Štístko
name.nickname_73,Vyzyvatel
name.nickname_74,Nervák
name.nickname_75,Pomatenec
name.nickname_76,Blázen
name.nickname_77,Cvok
name.nickname_78,Magor
name.nickname_79,Požehnaný
name.nickname_80,Držsedál
name.nickname_81,Neklidný lord
name.nickname_82,Cestovatel
name.nickname_83,Dlouhonožka
name.nickname_84,Procházka
name.nickname_85,Poutník
name.nickname_86,Tulák
name.nickname_87,Neklidné nohy
name.nickname_88,Strašák
name.nickname_89,Noční můra
name.nickname_90,Vnitřní krása
name.nickname_91,Dětský nářek
name.nickname_92,Prosťáček
name.nickname_93,Slepec
name.nickname_94,Důvěřivá oběť
name.nickname_95,Naivní lord
name.nickname_96,Všenasudou
name.nickname_97,Ještějednou
name.nickname_98,Poslední sázka
name.nickname_99,Vabank
name.nickname_100,Temný lord
name.nickname_101,Slepý lord
name.nickname_102,Černý lord
name.nickname_103,Bradavčák
name.nickname_104,Jednooký lord
name.nickname_105,Kyklop
name.nickname_106,Slepýš
name.nickname_107,Napůl slepý lord
name.nickname_108,Podržto
name.nickname_109,Skromná náruč
name.nickname_110,Špatná ruka
name.nickname_111,Pomatenec
name.nickname_112,Jednoruký lord
name.nickname_113,Pahejl
opinion_mind.relative_suffer,Můj příbuzný ve své provincii trpí
opinion_mind.relative_dead,Můj příbuzný ve své zemřel
display_event.relatives_worse_relations,{name}: Příbuzní této postavy zhoršili vztah k tvému králi
display_event.got_nickname,{name}: Postava dostává přezdívku „{nickname}“
display_event.lord_not_have_time_for_chancellery,Správce kancléřství se tam nemůže dostat včas.
building.menu.status.waiting_inspector,Čeká se na správce
building.watch_tower.archers,LUČIŠTNÍCI
actor.action_task.assasins_guest_give_child,Oběť prvorozeného
actor.action_task.assassination,Tajný atentát
activity_state.npc_guest.go_to,Míří do centra města
activity_state.npc_guest.wait,Čeká na konverzaci
display_event.guest_arrive,Dorazil speciální host: {guest_name}
building.watch_tower.weapons,ZBRANĚ
building.watch_tower.armor,ZBROJE
building.watch_tower.orders,ROZKAZY
building.watch_tower,Střelecká věž
building.watch_tower.auto_collect,Automatické nasazení lučištníků
actor.action_task.hire_escaped_lord,Pozvánka do rodiny
display_event.escaped_lord_arrive,Lord žádá azyl
letter.escaped_lord,"Vím, že ten všivák bude hledat útočiště ve tvém městě. Prosím, nepřijímej ho – ještě lépe ho co nejrychleji vyžeň. Nemáš tušení, co nám to zvíře provedlo!"
letter.escaped_lord_richstring,"Lord {soul_uuid_lord} žádá o azyl ve tvé provincii.

Tohoto lorda můžeš buď vyhnat, nebo ho přijmout do své rodiny jako <hint=hint_untitled_lord>nižšího lorda.</hint>

Pokud ho přijmeš, {soul_uuid} zhorší svůj vztah s tvým panovníkem o <red>{rel_de}</red>."
building.watch_tower.status.need_to_assign_watchmans,Musíme přiřadit lučištníky!
building.watch_tower.status.no_available_soldiers,Žádní dostupní vojáci!
building.watch_tower.status.soldiers_go_to_tower,Vojáci spěchají k věži
building.watch_tower.status.attack,Útočí na cíl {target_name}
building.watch_tower.status.on_duty,Vyhlíží nebezpečí
building.watch_tower.status.not_summoned,Lučištníci nebyli povoláni
activity_state.watch_tower.go_to,Jdu do střelecké věže
activity_state.watch_tower.on_duty,Slouží ve střelecké věži
letter.escaped_lord_final,"To nebyl moudrý krok. {lord_uuid} si zaslouží provaz, nikoliv místo u tvého stolu. Bohužel se příliš stydím prozradit, co ta osoba udělala, takže tě nemůžu přesvědčit. Ale o tvém úsudku mám nyní pochyby."
letter.escaped_lord_richstring_final,"Přijal jsi uprchlého lorda do své rodiny coby <hint=hint_untitled_lord>nižšího lorda.</hint>

{king_uuid} zhoršil svůj vztah s tvým panovníkem o <red>{rel_de}</red>."
display_event.witch_save_message,Přišel ti dopis
letter.witch_save_message,"Ne každý panovník je tak milostiv k prosté ženě, která hledá útočiště před nevzdělanými služebníky nové bohyně!

Máš můj vděk i mé skromné požehnání."
letter.witch_save_message_richstring,Coby projev díků čarodějnice tvůj panovník získal vlastnost <hint={trait_hint}>{trait_caption}</hint>.
trait.impotence,Sexuální slabost
trait.longlive,Dlouhověkost
trait.male_birth,Požehnání synů
actor.action_task.witch_save,Čarodějnice: Úplatek
actor.action_task.witch_give,Čarodějnice: Předání
actor.action_task.trade_with_knowledge_trade,Obchod
actor.action_task.hire_mountain_knight,Najmout
actor.action_task.hire_escaped_lord,Přijmout do rodiny
actor.action_task.bandit_slave_buy,Vykoupit vězně
actor.action_task.buy_dog,Koupit psa
actor.action_task.sacrifice_allow,Umožnit rudou mši
actor.action_task.depart_uniq_guest,Vyhnat
building.watch_tower.enemy_tower,"Věž poskytuje lučištníkům, kteří jsou na ní umístění, ochranu a dodatečnou přesnost."
actor.class.light_crossbowman,Lehký kušijník
global_map.object.army.defenders,Posádka
map.ask_player_send_army_to_attack,Vyžádat vyslání vojska
opinion_mind.player_ally_send_army,Vyslání vojska na pomoc
opinion_mind.leader,Vůdce spojenectví
global_map.choose_army,VÝBĚR ČETY
actor.action.army.allies,Spojenci
actor.action.army.vassals,Vazalové
display_event.uniq_slave_release_message,Zpráva od vězně
letter.uniq_slave_release_message_noble,"Jsem ten nešťastník, kterého ti přišlo záhodno vykoupit od banditů a osvobodit. Omlouvám se, že tě opouštím tak brzy, ale má touha být znovu u své rodiny byla silnější.

Nyní mi dochází, že lepé panny mohou být zdrojem nejen rozkoše lásky, nýbrž i proradné zrady – ve své jednoduchosti tak pokořující, že by mi bylo milejší zemřít než ti přiznat, kdo doopravdy jsem.

Nicméně ti chci vyjádřit svůj vděk za tu laskavost a nějak ti vynahradit výdaje."
letter.uniq_slave_release_noble_richstring,U dopisu bylo <hint=hint_resource_gold>{count}</hint>.
letter.uniq_slave_release_message_bandit,"Pane! Píše ti prostý kněz jménem jistého muže. Je to negramotný vagabund, ale tvrdí, že se díky tobě nedávno dostal ze zajetí, a to pomocí značné sumy peněz.

Žádá, abych ti sdělil, že sám sebe prohrál v kostkách, a aby splatil svůj dluh, navrhl svému společníkovi, že se draze prodá, vydávaje se za tajemného lorda.

Tvá laskavost promluvila k jeho svědomí, a tak žádá tvé odpuštění za tento malý žertík. Nijak jinak se ti odvděčit nemůže a žádá, abych se modlil za tvé zdraví."
letter.uniq_slave_release_bandit_richstring,Kromě dopisu už v obálce nic dalšího nebylo.
map.demand_player_send_army_to_attack,Dožadovat se vyslání vojska
opinion_mind.matriarch_witch_give,Čarodějnice byla předána spravedlnosti
display_event.witch_king_got_impotence,Tvůj panovník se necítí dobře
display_event.too_smart_old_lord,{name}: Riziko ztráty znalostí!
display_event.lord_banned,{name}: Nežádoucí osoba u frakce {faction_name}!
mind.animal_master,Majitel
activity_state.go_to_pet,Jde ke zvířeti
mind.animal_play,Hraní se psem
map.vassal_ai_want_to_rebel,Vazal hodlá povstat
opinion_mind.bribe_my_heir,Pokus o svrhnutí
menu.army.keep_last_army,Uložit poslední složení vojska
actor.action_task.order_song_religious,Náboženský hymnus
actor.action_task.order_song_lyric,Lyrická báseň
actor.action_task.order_song_glory,Hrdinská píseň
actor.action_task.order_song_good,Příběh s ponaučením
activity_state.npc_bard.go_to,Jde si hrát
activity_state.npc_bard.work,Hraje si
actor.action_task.dog_tame,Ochočit psa
actor.action_task.dog_transit,Darovat psa
activity_state.npc_joker.go_to,Jde bavit lidi
activity_state.npc_joker.work,Baví lidi
display_event.guest_assassin_success_death,{target_name}: Náhlá smrt
auto_backup_saves.header,Uložené hry byly zálohovány
auto_backup_saves.body,"Nyní hraješ experimentální beta verzi hry <b>Norland</b>. Snažíme se, aby byla stabilní, ale stát se může cokoliv!

Uložené hry z experimentální verze mohou být dočasně nekompatibilní s běžnou verzí hry (pokud se rozhodneš přejít zpátky). Právě proto jsme vytvořili zálohu všech tvých uložených her v samostatné složce: <b>%localappdata%/Strategy/saves/backup/</b>. Ve Windows ji otevřeš tak, že stiskneš WIN+R, napíšeš %localappdata%/Strategy/ a stiskneš Enter.

Pokud se k těmto uloženým hrám chceš vrátit, stačí je přesunout do složky <b>saves/</b>.

Tvoje zpětná vazba ohledně změn, které provádíme, je pro nás velmi důležitá, takže se těšíme na tvé názory na fórech na Steamu či na našem Discordu. Děkujeme!"
mind.heard_good_song,Minstrelova lyrická píseň
display_event.unique_guest_bishop,Dopis od matriarchy
letter.unique_guest_bishop,"
Milované dítě! K našim uším se donesly radostné zprávy o tvé pohostinnosti a štědrosti! Jsme ti vděční za vřelé přijetí naší milované osoby! Navzdory neshodám s jedním z našich vladařů je to mírumilovný a počestný služebník naší vůle a my máme radost, že se těší dobrému zdraví a našel ve tvé provincii dočasné útočiště."
letter.unique_guest_bishop_richstring,"
Vztahy s matriarchou a biskupem: <green>+{rel_de}</green>"
display_event.unique_guest_philosoph,Dopis od vzdáleného vladaře
letter.unique_guest_philosoph,"Doneslo se mi, že tvou zemi možná navštíví jistý jedinec v utajení. Zapřísahám tě, nepřijímej ho! Tento bezbožný syn běhny a psa se během ranní mše dopustil svatokrádeže, když veřejně zpochybňoval dobrotu Matky Sofie! Rozmysli si to!"
letter.unique_guest_philosoph_richstring,"Nyní víš, proč je {soul_uuid} ve tvé zemi."
action_task_assassination,Tajný atentát
actor.action_task.trade_with_nectar_trader,Obchod
activity_state.joker_watch.go_to,Jde se podívat na šaška
activity_state.joker_watch.process,Užívá si představení
activity_state.joker_watch.give_gold,Odměňuje šaška penězi
building.wooden_wall,Palisáda
actor.action_task.dog_play,Hrát si
work.warden,Strážce
display_event.some_soldiers_refuse_patrol,Někteří válečníci odmítli jít na hlídku
display_event.bard_complete_order,Minstrel dokončil svou zakázku
activity_state.bard_watch.go_to,Jde si poslechnout minstrela
activity_state.bard_watch.process,Poslouchá minstrela
activity_state.npc_bard.wait,Čeká na posluchače
opinion_mind.kick_out_me_from_alliance,Zrušení spojenectví
opinion_mind.kick_out_me_from_vassalage,Poskytnutá svoboda
display_event.sacrifice_allowed,Schválená rudá mše
display_event.sacrifice_result,Rudá mše skončila
opinion_mind.sacrifice_allowed,Schválení rudé mše
name.incognito,Inkognito
guest.assassin,Kněz Dahamat
guest.escaped_lord,Uprchlý lord
guest.joker,Šašek
guest.knowledge_trader,Písmák
guest.mountain_knight,Nájezdnický rytíř
guest.witch,Čarodějnice
guest.bandit_and_slave,Vagabund s vězněm
guest.dog_seller,Obchodník se psy
guest.cultists,Archonti mrtvého boha
guest.bard,Minstrel
guest.nectar_trader,Obchodník s nektarem
guest.incognito,Inkognito
opinion_mind.escaped_lord_accept,Propuštění uprchlého lorda
display_event.click_to_read_message,Zprávu si přečti kliknutím
display_event.unique_guest_philosoph_depart,Vzkaz od hosta
letter.unique_guest_philosoph_depart,"Můj vděk za tvou laskavost nezná hranic! Ale tvou pohostinnou provincii žel musím opustit, neb mí nepřátelé zjistili, kde se nacházím. Jako vzpomínku na naše příjemné rozhovory ti však chci přenechat tuto knihu. Kéž ti bude připomínat mě, jakož i to, jak jsme díky otevřenosti vůči znalostem ostatních kultur silnější."
letter.unique_guest_philosoph_richstring_depart,"Po odchodu z města ti host nechal tento vzkaz a jako dárek slovník jazyka {culture_name}.

Tvoji lordi na jeho společnost budou vřele vzpomínat."
display_event.unique_guest_bishop_depart,Vzkaz od hosta
letter.unique_guest_bishop_depart,"Děkuji ti za pohostinnost, ale musím odejít, neboť díky účasti mých přátel na Kameni víry se matriarcha dozvěděla celou pravdu o mé situaci. Nyní mi bylo odpuštěno a těším se přízni – neb pravda si vždy najde cestu. Na oplátku ti slibuji, že matriarše zašeptám pár slov do uší ohledně toho, jak jsi zbožný a věrný panovník. Kéž tě Matka Sofie ochraňuje!"
letter.unique_guest_bishop_richstring_depart,"Po odchodu z města ti host zanechal tento vzkaz.

Zdá se, že se tvůj vztah s <hint=hint_relations_matriarch>matriarchou</hint> a <hint=hint_bishop>biskupem</hint> brzy zlepší."
ceremony.sacrifice,Rudá mše
family_tree.branch_of,Strana: {character_name}
family_tree.role.lord,Lord
display_event.place_hall,Postav síň
letter.unique_guest_piligrims_accept,"S potěšením se dovídáme o tvé štědrosti vůči svatým poutníkům, kteří navštívili tvou zemi. Kéž tvá zbožnost jde příkladem všem ostatním právoplatným vládcům!"
letter.unique_guest_piligrims_accept_richstring,"Martiarcha ti vyjadřuje vděk za pohostinnost vůči poutníkům a za poskytnutí jídla.

$ Vztah s matriarchou: <green>+{rel_inc}</green>"
letter.unique_guest_piligrims_not_accept,"Zklamalo nás tvé chování vůči našim dětem, svatým poutníkům. Vzpomeň na to, co říkala Sofie: chovejte se k mým dětem jako ke svému prvorozenému! Doufám, že se vydáš cestou nápravy a vlídnosti!"
letter.unique_guest_piligrims_not_richstring,"Matriarcha je zklamaná z tvého chování vůči svatým poutníkům.

$ Vztah s matriarchou: <red>-{rel_de}</red>"
guest.piligrims,Svatí poutníci
actor.action_task.piligrims_give_food,Darovat mouku
actor.action_task.piligrims_give_swede,Darovat tuřín
opinion_mind.piligrims_didnt_share,Špatné chování k poutníkům
opinion_mind.piligrims_share_swede,Nakrmení poutníků tuřínem
opinion_mind.piligrims_share_food,Nakrmení poutníků moukou
faction.new.name.1,Mastok
faction.new.name.2,Kallin
faction.new.name.3,Turnow
faction.new.name.4,Noth
faction.new.name.5,Letos
faction.new.name.6,Sofie
faction.new.name.7,Ugrad
faction.new.name.8,Rekin
faction.new.name.9,Vasna
faction.new.name.10,Gorno
faction.new.name.11,Krij
faction.new.name.12,Siva
faction.new.name.13,Lakria
faction.new.name.14,Kena
faction.new.name.15,Jalma
faction.new.name.16,Esna
faction.new.name.17,Ferronook
faction.new.name.18,Tamia
faction.new.name.19,Lurwick
faction.new.name.20,Arestia
faction.new.name.21,Nea Mia
faction.new.name.22,Kraster
faction.new.name.23,Arden
faction.new.name.24,Salamut
faction.new.name.25,Harau
global_map_new.g_label.1,Blahoslavená stráň
global_map_new.g_label.2,Tichá prázdnota
global_map_new.g_label.3,Zářivý vrchol
global_map_new.g_label.4,Vzdálený les
global_map_new.g_label.5,Prokletý močál
global_map_new.g_label.6,Jezero Istoma
global_map_new.g_label.7,Mlžný les
global_map_new.g_label.8,Opuštěné údolí
global_map_new.g_label.9,Řeka Usma
global_map_new.g_label.10,Vlčí lesy
global_map_new.g_label.11,Císařův háj
global_map_new.g_label.12,Řeka Belora
global_map_new.g_label.13,Opevněný hřeben
global_map_new.g_label.14,Bílý záliv
global_map_new.g_label.15,Zmrzlé moře
global_map_new.g_label.16,Kraj starých bohů
global_map_new.g_label.17,Řeka mladé sestry
global_map_new.g_label.18,Řeka staré sestry
global_map_new.g_label.19,Smaragdové pláně
global_map_new.g_label.20,Karmínový háj
global_map_new.g_label.21,Jezero Velta
global_map_new.g_label.22,Zjizvené pustiny
global_map_new.g_label.23,Velké jižní lesy
global_map_new.g_label.24,Mrtvá poušť
global_map_new.g_label.25,Háj staršinů
global_map_new.g_label.26,Řeka Sirenis
global_map_new.g_label.27,Pružné vrchy
global_map_new.g_label.28,Zrcadlové jezero
global_map_new.g_label.29,Vrchy Kaza
global_map_new.g_label.30,Makhská poušť
global_map_new.g_label.31,Průsmyk Ferox
global_map_new.g_label.32,Kacířské hory
global_map_new.g_label.33,Kaidenské lesy
global_map_new.g_label.34,Tančící zeleň
global_map_new.g_label.35,Správcovo jezero
global_map_new.g_label.36,Pole svatého Michaela
global_map_new.g_label.37,Šedavé údolí
global_map_new.g_label.38,Řeka Altum
global_map_new.g_label.39,Železný hřeben
global_map_new.g_label.40,Poušť Saltus
global_map_new.g_label.41,Pusté hory
global_map_new.g_label.42,Jižní moře
global_map_new.g_label.43,Bouřné moře
global_map_new.g_label.44,Posvátné jezero
global_map_new.g_label.45,Zapovězený ostrov
global_map_new.g_label.46,Truchlící les
global_map_new.g_label.47,Umbrové hory
display_event.lost_knowledge_final,Znalosti jsou ztracené
advisor.knowledge_lost_soon,Znalosti v ohrožení
global_map_new.g_label.48,Kámen víry
input.key.backspace,Backspace
input.key.arrow_up,Šipka nahoru
input.key.arrow_down,Šipka dolů
input.key.arrow_left,Šipka vlevo
input.key.arrow_right,Šipka vpravo
input.key.enter,Enter
input.key.f1,F1
input.key.f2,F2
input.key.f3,F3
input.key.f4,F4
input.key.f5,F5
input.key.f6,F6
input.key.f7,F7
input.key.f8,F8
input.key.f9,F9
input.key.f10,F10
input.key.f11,F11
input.key.f12,F12
input.key.delete,Delete
input.key.end,End
input.key.home,Home
input.key.insert,Insert
input.key.pg_up,Page Up
input.key.pg_down,Page Down
input.key.pause,Pause
input.key.num_0,Num 0
input.key.num_1,Num 1
input.key.num_2,Num 2
input.key.num_3,Num 3
input.key.num_4,Num 4
input.key.num_5,Num 5
input.key.num_6,Num 6
input.key.num_7,Num 7
input.key.num_8,Num 8
input.key.num_9,Num 9
input.key.decimal,.
input.key.divide,/
input.key.shift,Shift
input.key.alt,Alt
input.key.ctrl,Ctrl
input.key.space,Mezerník
input.key.subtract,-
input.key.tab,Tab
input.key.mb_left,Levé tlačítko myši
input.key.mb_right,Pravé tlačítko myši
input.key.mb_middle,Prostřední tlačítko myši
input.key.mb_side1,Přední tlačítko myši
input.key.mb_side2,Zadní tlačítko myši
input.key.mb_wheel_up,Kolečko myši nahoru
input.key.mb_wheel_down,Kolečko myši dolů
input.action.camera_up,Nahoru
input.action.camera_down,Dolů
input.action.camera_left,Vlevo
input.action.camera_right,Vpravo
input.action.zoom_in,Přiblížení
input.action.zoom_out,Oddálení
input.action.camera_move,Posun kamery
input.action.select_object,Vybrat objekt
input.action.menu_back_close,Zpět / zavřít nabídku
input.action.speed_one,Rychlost x1
input.action.speed_two,Rychlost x2
input.action.speed_three,Rychlost x4
input.action.speed_pause,Pozastavení
input.action.menu_construction,Nabídka staveb
input.action.menu_production,Nabídka výroby
input.action.menu_finances,Nabídka financí
input.action.menu_statistics,Nabídka statistik
input.action.menu_army,Nabídka vojska
input.action.menu_dynasty,Nabídka dynastie
input.action.menu_knowledge,Nabídka znalostí
input.action.menu_map,Mapa světa
input.action.construction_rotate_l,Stavba: Natočit vlevo
input.action.construction_rotate_r,Stavba: Natočit vpravo
input.action.gui_add_more,Přidat po 10
input.action.squad_order_attack,Rozkaz četě
input.action.select_next_lord,Vybrat dalšího lorda
input.action.select_previous_lord,Vybrat předchozího lorda
input.category.general,Obecné ovládání
input.category.speed,Rychlost hry
input.category.menu,Nabídka
input.category.misc,Ostatní
display_event.bandit_save_message,Dopis od neznámého pisatele
letter.bandit_save_message,"Jsem otec Andrey a píši ti jménem anonymního jedince, který mi zaplatil značnou sumu, abych ti poslal tento dopis na tom nejlepším papíru, jenž je k mání. Můj mecenáš se doznává, že ho hříchy dovedly k tomu, aby se z něj stal muž páchající krveprolití, během čehož se mu podařilo nahromadit velké bohatství, než utekl se svými komplici.

Útočiště, které u tebe našel, mu pomohlo uniknout pronásledovatelům, takže je nyní v bezpečí. Slibuje, že ti tu laskavost oplatí a pošle ti něco po svaté karavaně."
letter.bandit_save_message_richstring,"Ukázalo se, že ten neznámý člověk je bandita, ale je ti vděčný za laskavost a poskytnuté útočiště. Možná že tvému vládci tento milosrdný čin opravdu oplatí."
trade.bandit_reward,Odměna za laskavost
display_event.bandits_camp_was_bribed,Lesní zbojníci byli podplaceni!
settings_menu.tab.general,Obecné
settings_menu.tab.controls,Ovládání
input.binding_mode,Stiskni klávesu...
input.restore_default,Obnovit výchozí
display_event.maniac_captived_message,Dopis od sousedního vládce
letter.maniac_captived_message,"Drahý sousede! Tví válečníci nám poslali zajatého lorda známého svým hříšným chováním. Děkuji za jeho polapení; ani se mi nesnilo, že ho ještě někdy uvidím. Leč nyní spravedlnost zvítězí a jemu se dostane, co zaslouží. Dovol mi zaslat ti malý dar coby projev vděčnosti za tvou pomoc v této věci."
letter.maniac_captived_message_richstring,"{soul_uuid_maniac} byl zajat a odeslán do své domovské provincie.

Na důkaz díků ti vládce této provincie posílá malý dar: <hint=hint_resource_gold>{gold}</hint>"
activity_state.maniac.go_to_kill,Jde zabíjet
activity_state.killing.wait,Čeká na smrt
activity_state.maniac.killing,Zabíjí
activity_state.dog_play.go_to,Jde si hrát se psem
activity_state.dog_play.play,Hraje si se psem
activity_state.dog_play.dog_wait,Čeká na pána
activity_state.dog_play.dog_play,Hraje si s pánem
mind.mind_joker_watched,Šaškovo představení
letter.maniac_about_message,"Drahý sousede! Donesly se ke mně zvěsti, že tvou provincii navštívil lord z našich zemí. U nás je již dlouho znám jako bezuzdný sadista, který zabíjí pro své potěšení. Žel, nedávno utekl z vazby, a jak nyní víme, pokračoval ve své odporné zábavě ve tvé zemi. Je škoda, že ušel trestu, ale budeme se modlit, aby ho Matka Sofie potrestala svou boží rukou a aby spravedlnost zvítězila."
letter.maniac_about_message_richstring,"Neznámý sadista opustil tvou provincii bez trestu. Kdo ví, jestli se s ním ještě potkáš?"
display_event.maniac_about_message,Dopis od sousedního vládce
display_event.bandit_leave,Neznámá osoba opustila provincii
tech.trade_tax_reduce,Šedé kontakty
tech.market_depth_increase,Rozšíření poptávky
tech.book_rewrite_cost_decrease,Těsnopis
tech.saint_king,Svátost moci
tech.church_defence,Sofiina ochrana
tech.easier_divorce,Omluva rozvodu
tech.bishop_fix_relations,Spasitelské usmíření
tech.detach_ex_bandit,Svěží začátek
tech.knife_battle_stronger,Pán dýky
tech.stronger_weapon,Mast odolnosti
tech.better_training,Branci
tech.moral_vs_bandits,Kladivo na zbojníky
knowledge.blocked_reason.contracts_required,{number_of_contracts}/{required_contracts} obchodních kontaktů
knowledge.blocked_reason.books_required,Knihy: {number_of_books}/{required_books}
knowledge.blocked_reason.soldiers_required,Válečníci: {number_of_soldiers}/{required_soldiers}
knowledge.blocked_reason.matriarch_relation_required,Vztah s matriarchou: {number_of_relation}/{required_relation}
map.maniac_in_bandit_camp,Inkognito v táboře zbojníků
map.menu.quest.manuac_captived,Inkognito byl zajat.
actor.part_of_nature.trader,Kupec
actor.action_task.church_defence,Ochrana Milující rodiny
actor.action_task.bishop_fix_relations,Pokání díky nenávisti
opinion_mind.repentance_of_hatred,Pokání díky nenávisti
opinion_mind.church_defence_request,Odhalená slabina kvůli žádosti o ochranu
knowledge.blocked_reason.caravan_bring_required,Jeden z lordů musí mít znalosti {knowledge_name}.
input.not_bounded,Nepřiřazeno
input.key_already_used,Klávesa už se používá
opinion_mind.bishop_guest_accept,Poskytnutí úkrytu knězi
input.action.quick_save,Rychlé uložení
matriarch.church_defence_active,Dny do konce ochrany Milující rodiny: {days}.
actor.part_of_nature.philosoph,Učenec
mind.fight_agains_bandit,Kladivo na zbojníky
opinion_mind.my_master,Můj idol
opinion_mind.my_puppet,Moje loutka
mind.made_gift_to_master,Předání dárku idolovi
mind.master_death,Smrt idola
appoint.puppet_action_set,Věrnost loutky se kvůli tomu sníží
display_event.puppet_become,Postava {master} si podvolila osobu {puppet}.
display_event.puppet_reset,{puppet} už není loutka.
opinion_mind.forced_to_crime,Donucení ke spáchání zločinu
opinion_mind.forced_to_action,Donucení jednat
actor.opinion.special.master,Idol
actor.opinion.special.puppet,Loutka
actor.relations.filter.puppets,Loutky
opinion_mind_interest.lust,Vlastnost Chtíč
menu.army.new_army.create.build_hall,Nedostupné. Postav síň.
