Key,PortugueseBrazilian
name.nickname_23,Pés ao Alto
name.nickname_24,Ouriço Covarde
name.nickname_25,Pardalzinho
name.nickname_26,Da Retaguarda
name.nickname_27,Ratinho
name.nickname_28,Rabo Entre as Pernas
name.nickname_29,Punho Destemido
name.nickname_30,Espada Sombria
name.nickname_31,Coração Valente
name.nickname_32,Alma de Leão
name.nickname_33,Espírito da Coragem
name.nickname_34,Mãos Firmes
name.nickname_35,Combatente Valente
name.nickname_36,Golpe Forte
name.nickname_37,Mestre
name.nickname_38,Abelha
name.nickname_39,Açoite
name.nickname_40,Perdição da Preguiça
name.nickname_41,Despertar
name.nickname_42,Esperteza
name.nickname_43,Traça
name.nickname_44,Nobre dos Papeis
name.nickname_45,Sabe Tudo
name.nickname_46,Da Biblioteca
name.nickname_47,Testão
name.nickname_48,Nobre do Saber
name.nickname_49,Magíster
name.nickname_50,Gramatical
name.nickname_51,Docente
name.nickname_52,Cérebro
name.nickname_53,Cobra Esperta
name.nickname_54,Guia
name.nickname_55,Poço do Conhecimento
name.nickname_56,Árbitro
name.nickname_57,Paga Dívidas
name.nickname_58,Oficial
name.nickname_59,Flagelo dos Ladrões
name.nickname_60,Mestre da Forca
name.nickname_61,A Tirania
name.nickname_62,Mão de Ferro
name.nickname_63,Carrasco
name.nickname_64,Mãos Ensanguentadas
name.nickname_65,Suga-Sangue
name.nickname_66,Laço da Forca
name.nickname_67,Monstro Sedento
name.nickname_68,Enforcador
name.nickname_69,Duelista
name.nickname_70,Lâmina Má
name.nickname_71,Chamado da Morte
name.nickname_72,Sorte Encarnada
name.nickname_73,Desafiante
name.nickname_74,Nervos
name.nickname_75,Cabeça Leve
name.nickname_76,Biruta
name.nickname_77,Lunático
name.nickname_78,Insano
name.nickname_79,Benção
name.nickname_80,Distante
name.nickname_81,Nobre Incansável
name.nickname_82,Viajante
name.nickname_83,Pernas Longas
name.nickname_84,Pé-Na-Porta
name.nickname_85,Vagante
name.nickname_86,Caminhante
name.nickname_87,Pernas Inesgotáveis
name.nickname_88,Espantalho
name.nickname_89,Pesadelo
name.nickname_90,Beleza Interior
name.nickname_91,Espanta Criança
name.nickname_92,Simplório
name.nickname_93,Cego
name.nickname_94,Vítima Ingênua
name.nickname_95,Nobre Inocente
name.nickname_96,Tudo no Par
name.nickname_97,Mais Uma Jogada
name.nickname_98,Última Aposta
name.nickname_99,Aposta Tudo
name.nickname_100,Nobre das Trevas
name.nickname_101,Nobre Cego
name.nickname_102,Nobre Sombrio
name.nickname_103,Toupeira
name.nickname_104,Nobre Olho-Só
name.nickname_105,Ciclope
name.nickname_106,Olho Cego
name.nickname_107,Nobre Meia Vista
name.nickname_108,Porta Bandeja
name.nickname_109,Abraço Fraco
name.nickname_110,Mão Errada
name.nickname_111,Metadinha
name.nickname_112,Nobre Pouco Braço
name.nickname_113,Cotoco
opinion_mind.relative_suffer,Meu parente está sofrendo na província dele
opinion_mind.relative_dead,Meu parente morreu na província dele
display_event.relatives_worse_relations,{name}: os parentes do personagem agora tem atitudes piores sobre o seu rei
display_event.got_nickname,"{name}: recebeu o apelido de ""{nickname}"""
display_event.lord_not_have_time_for_chancellery,O administrador da chancelaria não consegue chegar lá a tempo.
building.menu.status.waiting_inspector,Aguardando o administrador
building.watch_tower.archers,ARQUEIROS
actor.action_task.assasins_guest_give_child,Sacrifício do primogênito
actor.action_task.assassination,Assassinato secreto
activity_state.npc_guest.go_to,Indo ao centro da cidade
activity_state.npc_guest.wait,Esperando por uma conversa
display_event.guest_arrive,Um convidado especial chegou: {guest_name}
building.watch_tower.weapons,ARMAS
building.watch_tower.armor,ARMADURAS
building.watch_tower.orders,ORDENS
building.watch_tower,Torre de arqueiros
building.watch_tower.auto_collect,Mobilização automática de arqueiros
actor.action_task.hire_escaped_lord,Convidar à sua família
display_event.escaped_lord_arrive,Nobre pede asilo
letter.escaped_lord,"Eu sei que o malandro irá em busca de refúgio em sua cidade. Não o receba ou, melhor ainda, expulse-o o mais rápido possível. Você não tem ideia do que esse animal fez conosco!"
letter.escaped_lord_richstring,"{soul_uuid_lord} pede asilo em sua sua província.
 
 Você pode expulsar este membro da nobreza ou aceitá-lo em sua família como um <hint=hint_untitled_lord>Nobre Baixo</hint>.
 
 Se você o aceitar, a relação de {soul_uuid} com seu rei irá cair em <red>{rel_de}</red>."
building.watch_tower.status.need_to_assign_watchmans,Nós precisamos atribuir arqueiros!
building.watch_tower.status.no_available_soldiers,Nenhum soldado disponível!
building.watch_tower.status.soldiers_go_to_tower,Soldados correndo à torre
building.watch_tower.status.attack,Atacando {target_name}
building.watch_tower.status.on_duty,Procurando perigo.
building.watch_tower.status.not_summoned,Os arqueiros não foram convocados.
activity_state.watch_tower.go_to,Vou à torre de arqueiros.
activity_state.watch_tower.on_duty,Servindo na torre de arqueiros.
letter.escaped_lord_final,"Você agiu sem pensar. {lord_uuid} merece uma corda, não um lugar à sua mesa. Infelizmente, tenho demasiada vergonha para revelar o que ele fez para lhe convencer. Mas pensei que você teria um melhor julgamento."
letter.escaped_lord_richstring_final,"Você aceitou o membro da nobreza fugitivo em sua família como um <hint=hint_untitled_lord>Nobre Baixo</hint>.
 
 A relação de {king_uuid} com seu rei caiu em <red>{rel_de}</red>."
display_event.witch_save_message,Você recebeu uma carta
letter.witch_save_message,"Não é todo governante que demonstra sua misericórdia a uma simples mulher em busca de abrigo contra os ignorantes servos da Nova Deusa!
 
 Eu lhe sou grata e lhe ofereço minha humilde bênção."
letter.witch_save_message_richstring,"Como uma mostra de gratidão da bruxa, seu rei ganhou a característica <hint={trait_hint}>{trait_caption}</hint>."
trait.impotence,Falta de vigor
trait.longlive,Longevidade
trait.male_birth,Filhos abençoados
actor.action_task.witch_save,Bruxa: subornar
actor.action_task.witch_give,Bruxa: entregar
actor.action_task.trade_with_knowledge_trade,Comerciar
actor.action_task.hire_mountain_knight,Contratar
actor.action_task.hire_escaped_lord,Convidar à sua família
actor.action_task.bandit_slave_buy,Resgatar o prisioneiro
actor.action_task.buy_dog,Comprar um cão
actor.action_task.sacrifice_allow,Permitir a Missa Rubra
actor.action_task.depart_uniq_guest,Expulsar
building.watch_tower.enemy_tower,A torre oferece proteção e mais precisão aos arqueiros que estiverem nela. Selecione uma unidade para atacá-la com o <b>botão direito do mouse</b>.
actor.class.light_crossbowman,Besteiro leve
global_map.object.army.defenders,Guarnição
map.ask_player_send_army_to_attack,Pedir para enviar exército
opinion_mind.player_ally_send_army,Enviar exército para ajudar
opinion_mind.leader,Líder da aliança
global_map.choose_army,SELECIONAR ESQUADRÃO
actor.action.army.allies,Aliados
actor.action.army.vassals,Vassalos
display_event.uniq_slave_release_message,Mensagem do prisioneiro
letter.uniq_slave_release_message_noble,"Eu sou o infeliz que você resgatou e libertou dos bandidos. Perdoe-me por ir embora tão rapidamente, mas eu ansiava o reencontro com minha família.
 
 Agora percebo que a beleza das donzelas pode trazer não apenas os prazeres do amor, mas também traições. A natureza simplista de tamanha humilhação é tão grande que prefiro morrer a admitir minha identidade.
 
 Porém, eu gostaria de expressar minha gratidão por sua bondade e lhe compensar por seus gastos."
letter.uniq_slave_release_noble_richstring,A carta veio acompanhada de <hint=hint_resource_gold>{count}</hint>.
letter.uniq_slave_release_message_bandit,"Senhor! Sou um humilde sacerdote que lhe escreve em nome de um certo homem. Ele é um vadio iletrado, mas afirma que você o libertou recentemente, e que pagou um valor considerável por ele.
 
 Ele pede para lhe dizer que perdeu tudo em um jogo dados e que, para pagar o que devia, sugeriu a um amigo que o vendesse fingindo ser um nobre misterioso.
 
 A misericórdia que você demonstrou trouxe à tona a consciência dele. Ele lhe pede perdão pela trama e diz que não tem como lhe pagar o valor do resgate, mas ele me pediu para rezar por sua saúde."
letter.uniq_slave_release_bandit_richstring,Só havia a carta dentro do envelope.
map.demand_player_send_army_to_attack,Exigir o envio de exército
opinion_mind.matriarch_witch_give,Entregou a bruxa à justiça
display_event.witch_king_got_impotence,Seu rei não se sente bem
display_event.too_smart_old_lord,{name}: risco de perda de conhecimento
display_event.lord_banned,{name}: Persona non grata em {faction_name}!
mind.animal_master,Dono
activity_state.go_to_pet,Indo ao mascote
mind.animal_play,Brincou com o cachorro
map.vassal_ai_want_to_rebel,Um vassalo irá se rebelar
opinion_mind.bribe_my_heir,Tentou me destronar
menu.army.keep_last_army,Salvar a última configuração do exército
actor.action_task.order_song_religious,Hino religioso
actor.action_task.order_song_lyric,Poema lírico
actor.action_task.order_song_glory,Canção heroica
actor.action_task.order_song_good,Conto de moralidade
activity_state.npc_bard.go_to,Indo tocar
activity_state.npc_bard.work,Tocando
actor.action_task.dog_tame,Adestrar o cachorro
actor.action_task.dog_transit,Dar o cachorro
activity_state.npc_joker.go_to,Indo entreter as pessoas
activity_state.npc_joker.work,Entreter as pessoas
display_event.guest_assassin_success_death,{target_name}: morte súbita
auto_backup_saves.header,Salva o backup criado
auto_backup_saves.body,"Você abriu a versão beta experimental do jogo <b>Norland</b>. Nosso objetivo é deixá-la estável, mas qualquer coisa pode acontecer!
 
 Os salvamentos feitos na versão experimental podem ser incompatíveis com a versão normal por algum tempo (se você decidir alternar entre as versões). Por isso, criamos um backup de todos os seus jogos salvos em uma pasta separada: <b>%localappdata%/Strategy/saves/backup/</b>. Para acessá-la no Windows, pressione WIN+R, digite %localappdata%/Strategy/ e dê Enter.
 
 Se você quiser voltar a usar esses arquivos, basta movê-los para a pasta <b>saves/</b>.
 
 Seu feedback sobre as mudanças que estamos fazendo é muito importante para nós. Esperamos saber o que você achou nos fóruns da Steam ou em nosso Discord. Obrigado!"
mind.heard_good_song,A música lírica de um menestrel
display_event.unique_guest_bishop,Uma carta da Matriarca
letter.unique_guest_bishop,"Amada criança! As alegres notícias de sua hospitalidade e generosidade chegaram a nossos ouvidos! Temos senão gratidão pelas boas-vindas que você deu a nosso amado! Apesar do desentendimento dele com um dos governantes, ele é um servo pacífico e honrado de nossa vontade e ficamos felizes por ele permanecer em boa saúde e por ter encontrado um abrigo temporário em sua província."
letter.unique_guest_bishop_richstring,Relações com a Matriarca e com o Bispo: <green>+{rel_de}</green>
display_event.unique_guest_philosoph,Uma carta de um governante distante
letter.unique_guest_philosoph,"Eu fiquei sabendo que um certo indivíduo pode visitar suas terras disfarçado. Rogo-lhe que não o receba! Esse profano filho de uma rameira e de um cão cometeu sacrilégios durante as missas matutinas, duvidando da graça da Mãe Sofia! Pense no que lhe estou dizendo!"
letter.unique_guest_philosoph_richstring,Agora você sabe por que {soul_uuid} está em suas terras.
action_task_assassination,Assassinato secreto
actor.action_task.trade_with_nectar_trader,Comerciar
activity_state.joker_watch.go_to,Indo olhar o bufão
activity_state.joker_watch.process,Divertindo-se com a performance
activity_state.joker_watch.give_gold,Recompensa o bufão com dinheiro
building.wooden_wall,Paliçada
actor.action_task.dog_play,Brincar
work.warden,Guardião
display_event.some_soldiers_refuse_patrol,Alguns guerreiros se recusaram a ir patrulhar
display_event.bard_complete_order,O menestrel concluiu a música pedida
activity_state.bard_watch.go_to,Indo escutar o menestrel
activity_state.bard_watch.process,Escutando o menestrel
activity_state.npc_bard.wait,Aguardando ouvintes
opinion_mind.kick_out_me_from_alliance,Quebrou a aliança
opinion_mind.kick_out_me_from_vassalage,Liberdade concedida
display_event.sacrifice_allowed,Missa Rubra aprovada
display_event.sacrifice_result,A Missa Rubra acabou
opinion_mind.sacrifice_allowed,Aprovou a Missa Rubra
name.incognito,Desconhecido
guest.assassin,Sacerdote de Dahamat
guest.escaped_lord,Nobre fugitivo
guest.joker,Bufão
guest.knowledge_trader,Escritônico
guest.mountain_knight,Cavaleiro salteador
guest.witch,Bruxa
guest.bandit_and_slave,Vadio com um prisioneiro
guest.dog_seller,Cão comerciante
guest.cultists,Arcontes do Deus Morto
guest.bard,Menestrel
guest.nectar_trader,Comerciante de néctar
guest.incognito,Desconhecido
opinion_mind.escaped_lord_accept,Recebeu nobre fugido
display_event.click_to_read_message,Clique para ler a mensagem
display_event.unique_guest_philosoph_depart,Nota de um convidado
letter.unique_guest_philosoph_depart,"Minha gratidão por sua gentileza não tem fim! Mas, infelizmente, preciso deixar sua amável província, pois meus inimigos descobriram minha localização. Porém, como lembrança de nossas agradáveis conversas, gostaria de lhe dar este livro. Que ele lhe lembre de mim e como estar aberto ao conhecimento de outras culturas nos deixa mais fortes."
letter.unique_guest_philosoph_richstring_depart,"Ao deixar sua cidade, seu convidado lhe deixou este bilhete e um dicionário do idioma {culture_name} de presente.
 
 Seus nobres se lembrarão saudosos da companhia dele."
display_event.unique_guest_bishop_depart,Nota de um convidado
letter.unique_guest_bishop_depart,"Eu lhe agradeço por sua hospitalidade, mas preciso partir, pois, graças à participação de meus amigos na Rocha de Fé, a Matriarca agora sabe toda a verdade sobre minha situação. Estou perdoado e de volta em graças, a verdade sempre vem à tona. Em troca, eu prometo dizer algumas palavras à Matriarca para informá-la sobre sua misericórdia e lealdade como governante. Que a Mãe Sofia lhe proteja!"
letter.unique_guest_bishop_richstring_depart,"Após deixar sua cidade, seu convidado deixou este bilhete.
 
 Parece que sua relação com a <hint=hint_relations_matriarch>Matriarca</hint> e o <hint=hint_bishop>Bispo</hint> logo estarão melhores."
ceremony.sacrifice,Missa Rubra
family_tree.branch_of,Ramo: {character_name}
family_tree.role.lord,Nobre
display_event.place_hall,Construa o salão
letter.unique_guest_piligrims_accept,Ficamos encantados em saber sobre sua generosidade com os peregrinos sagrados que visitaram suas terras. Que sua piedade sirva de exemplo para todos os demais governantes justos!
letter.unique_guest_piligrims_accept_richstring,"A Matriarca expressa sua gratidão pela hospitalidade demonstrada aos peregrinos e por dar-lhes comida.
 
 $ Relação com a Matriarca: <green>+{rel_inc}</green>"
letter.unique_guest_piligrims_not_accept,"Estamos desapontados com a forma que você tratou nossas crianças, os peregrinos sagrados. Lembre-se do que Sofia disse: trate meus filhos como trataria a seu primogênito! Espero que você embarque em um caminho de melhora e graça!"
letter.unique_guest_piligrims_not_richstring,"A Matriarca está desapontada pela forma que você tratou os peregrinos sagrados.
 
 $ Relação com a Matriarca: <red>-{rel_de}</red>"
guest.piligrims,Peregrinos sagrados
actor.action_task.piligrims_give_food,Doar farinha
actor.action_task.piligrims_give_swede,Doar couve-nabo
opinion_mind.piligrims_didnt_share,Maltratou os peregrinos
opinion_mind.piligrims_share_swede,Deu couve-nabo aos peregrinos
opinion_mind.piligrims_share_food,Deu farinha aos peregrinos
faction.new.name.1,Mastok
faction.new.name.2,Kallin
faction.new.name.3,Turnow
faction.new.name.4,Noth
faction.new.name.5,Letos
faction.new.name.6,Sofia
faction.new.name.7,Ugrad
faction.new.name.8,Rekin
faction.new.name.9,Vasna
faction.new.name.10,Gorno
faction.new.name.11,Krij
faction.new.name.12,Siva
faction.new.name.13,Lakria
faction.new.name.14,Kena
faction.new.name.15,Yalma
faction.new.name.16,Esna
faction.new.name.17,Ferronook
faction.new.name.18,Tamia
faction.new.name.19,Lurwick
faction.new.name.20,Arestia
faction.new.name.21,Nea Mia
faction.new.name.22,Kraster
faction.new.name.23,Arden
faction.new.name.24,Salamut
faction.new.name.25,Harau
global_map_new.g_label.1,Cume Sagrado
global_map_new.g_label.2,Ermo Silencioso
global_map_new.g_label.3,Cume Cintilante
global_map_new.g_label.4,Floresta Longínqua
global_map_new.g_label.5,Pântanos Malditos
global_map_new.g_label.6,Lago Istoma
global_map_new.g_label.7,Floresta Enevoada
global_map_new.g_label.8,Vale Desolado
global_map_new.g_label.9,Rio Usma
global_map_new.g_label.10,Bosque dos Lobos-sangrentos
global_map_new.g_label.11,Pomar do Imperador
global_map_new.g_label.12,Rio Belora
global_map_new.g_label.13,Crista da Fortaleza
global_map_new.g_label.14,Baía Branca
global_map_new.g_label.15,Mar Congelado
global_map_new.g_label.16,Terras dos Antigos Deuses
global_map_new.g_label.17,Rio Irmãzinha
global_map_new.g_label.18,Rio Irmãzona
global_map_new.g_label.19,Planícies Esmeraldas
global_map_new.g_label.20,Arvoredo Carmesim
global_map_new.g_label.21,Lago Velta
global_map_new.g_label.22,Ermos Marcados
global_map_new.g_label.23,Bosque do Grande Sul
global_map_new.g_label.24,Deserto Sem Vida
global_map_new.g_label.25,Olival do Ancião
global_map_new.g_label.26,Rio Sirenis
global_map_new.g_label.27,Colinas Ondulantes
global_map_new.g_label.28,Lago Refletivo
global_map_new.g_label.29,Colinas Kaza
global_map_new.g_label.30,Deserto Makha
global_map_new.g_label.31,Passo Ferox
global_map_new.g_label.32,Montanhas Hereges
global_map_new.g_label.33,Bosque Kaiden
global_map_new.g_label.34,Campina Dançante
global_map_new.g_label.35,Lago do Regente
global_map_new.g_label.36,Campos de São Miguel
global_map_new.g_label.37,Vale Acinzentado
global_map_new.g_label.38,Rio Altum
global_map_new.g_label.39,Dorsal de Ferro
global_map_new.g_label.40,Deserto Saltus
global_map_new.g_label.41,Montanhas Desoladas
global_map_new.g_label.42,Mar do Sul
global_map_new.g_label.43,Mar Tempestuoso
global_map_new.g_label.44,Lago Sagrado
global_map_new.g_label.45,Ilha proibida
global_map_new.g_label.46,Floresta Chorosa
global_map_new.g_label.47,Montanha Umbra
display_event.lost_knowledge_final,Conhecimento perdido
advisor.knowledge_lost_soon,Conhecimento em perigo
global_map_new.g_label.48,Rocha de Fé
input.key.backspace,BACKSPACE
input.key.arrow_up,Seta p/ Cima
input.key.arrow_down,Seta p/ Baixo
input.key.arrow_left,Seta p/ Esquerda
input.key.arrow_right,Seta p/ Direita
input.key.enter,ENTER
input.key.f1,F1
input.key.f2,F2
input.key.f3,F3
input.key.f4,F4
input.key.f5,F5
input.key.f6,F6
input.key.f7,F7
input.key.f8,F8
input.key.f9,F9
input.key.f10,F10
input.key.f11,F11
input.key.f12,F12
input.key.delete,DELETE
input.key.end,END
input.key.home,HOME
input.key.insert,INSERT
input.key.pg_up,PAGE UP
input.key.pg_down,PAGE DOWN
input.key.pause,PAUSE
input.key.num_0,Num 0
input.key.num_1,Num 1
input.key.num_2,Num 2
input.key.num_3,Num 3
input.key.num_4,Num 4
input.key.num_5,Num 5
input.key.num_6,Num 6
input.key.num_7,Num 7
input.key.num_8,Num 8
input.key.num_9,Num 9
input.key.decimal,.
input.key.divide,/
input.key.shift,SHIFT
input.key.alt,ALT
input.key.ctrl,CTRL
input.key.space,ESPAÇO
input.key.subtract,-
input.key.tab,TAB
input.key.mb_left,Botão Esquerdo do Mouse
input.key.mb_right,Botão Direito do Mouse
input.key.mb_middle,Botão do Meio do Mouse
input.key.mb_side1,Botão da Frente do Mouse
input.key.mb_side2,Botão de Trás do Mouse
input.key.mb_wheel_up,Roda do Mouse p/ Cima
input.key.mb_wheel_down,Roda do Mouse p/ Baixo
input.action.camera_up,Cima
input.action.camera_down,Baixo
input.action.camera_left,Esquerda
input.action.camera_right,Direita
input.action.zoom_in,Aumentar zoom
input.action.zoom_out,Diminuir zoom
input.action.camera_move,Mover câmera
input.action.select_object,Selecionar objeto
input.action.menu_back_close,Voltar / Fechar menu
input.action.speed_one,Velocidade x1
input.action.speed_two,Velocidade x2
input.action.speed_three,Velocidade x4
input.action.speed_pause,Pausar
input.action.menu_construction,Menu de construção
input.action.menu_production,Menu de produção
input.action.menu_finances,Menu de finanças
input.action.menu_statistics,Menu de atributos
input.action.menu_army,Menu de exército
input.action.menu_dynasty,Menu de dinastia
input.action.menu_knowledge,Menu de conhecimento
input.action.menu_map,Mapa-múndi
input.action.construction_rotate_l,Edifício: girar à esquerda
input.action.construction_rotate_r,Edifício: girar à direita
input.action.gui_add_more,Adicionar 10
input.action.squad_order_attack,Ordenar o esquadrão
input.action.select_next_lord,Selecionar nobre seguinte
input.action.select_previous_lord,Selecionar nobre anterior
input.category.general,Controles gerais
input.category.speed,Velocidade do jogo
input.category.menu,Menu
input.category.misc,Outros
display_event.bandit_save_message,Carta de um desconhecido
letter.bandit_save_message,"Meu nome é padre Andrey. Eu lhe escrevo em nome de um indivíduo anônimo que me pagou uma soma considerável para lhe escrever e enviar esta carta nos melhores papeis disponíveis. Meu patrocinador confessa que o pecaminoso caminho dele o levou a se tornar um homem sanguinário, tempo durante o qual ele reuniu uma considerável fortuna antes de escapar com os cúmplices dele.
 
 O refúgio que ele teve com você permitiu que ele escapasse dos perseguidores e ficasse agora em segurança. Ele promete lhe retribuir a gentileza enviando algo com a Caravana Sagrada."
letter.bandit_save_message_richstring,"O desconhecido acabou sendo um bandido, mas ele ficou grato por sua gentileza e pelo refúgio oferecido. Talvez a verdadeira forma com que ele possa retribuir seu governante é com esse gesto de misericórdia."
trade.bandit_reward,Recompensa por bondade
display_event.bandits_camp_was_bribed,Bandidos da floresta foram subornados!
settings_menu.tab.general,Geral
settings_menu.tab.controls,Controle
input.binding_mode,Pressione uma tecla...
input.restore_default,Retomar padrão
display_event.maniac_captived_message,Carta de um governante vizinho
letter.maniac_captived_message,"Caro vizinho! Seus guerreiros nos enviaram um nobre capturado, famoso por seus pecados. Eu lhe agradeço por capturá-lo, pensei que nunca o veríamos novamente. Mas agora a justiça prevalecerá e ele receberá o que merece. Permita-me lhe enviar um pequeno presente como mostra do meu apreço por seu envolvimento nesta questão."
letter.maniac_captived_message_richstring,"{soul_uuid_maniac} foi capturado e enviado para a província natal dele.
 
 Como um gesto de gratidão, o governante da província lhe enviou um pequeno presente: <hint=hint_resource_gold>{gold}</hint>"
activity_state.maniac.go_to_kill,Indo matar
activity_state.killing.wait,Esperando a morte
activity_state.maniac.killing,Mortes
activity_state.dog_play.go_to,Indo brincar com o cachorro
activity_state.dog_play.play,Brincando com o cachorro
activity_state.dog_play.dog_wait,Aguardando o mestre
activity_state.dog_play.dog_play,Brincando com o mestre
mind.mind_joker_watched,Performance do bufão
letter.maniac_about_message,"Querido vizinho! Ouvi rumores de que um nobre de nossas terras visitou sua província. Já faz muito tempo que ele é famoso aqui por ser um sádico que mata para se divertir. Infelizmente, ele escapou de nossa custódia e, até onde sabemos, está seguindo com seus vis entretenimentos em suas terras. É uma pena que ele continua sem ser punido, mas rezaremos para que a Mãe Sofia entregue a devida punição com sua mão divina e a justiça prevaleça."
letter.maniac_about_message_richstring,O sadista desconhecido saiu da sua província sem ser punido. Quem sabe se você o encontrará novamente?
display_event.maniac_about_message,Carta de um governante vizinho
display_event.bandit_leave,O desconhecido saiu da província
tech.trade_tax_reduce,Contratos cinzas
tech.market_depth_increase,Expansão de demanda
tech.book_rewrite_cost_decrease,Letras miúdas
tech.saint_king,Santidade do poder
tech.church_defence,A Proteção de Sofia
tech.easier_divorce,Apologia ao divórcio
tech.bishop_fix_relations,Arrependendo-se do ódio
tech.detach_ex_bandit,Um novo começo
tech.knife_battle_stronger,Mestre da adaga
tech.stronger_weapon,Composto da durabilidade
tech.better_training,Novos recrutas
tech.moral_vs_bandits,Martelo de bandidos
knowledge.blocked_reason.contracts_required,{number_of_contracts} / {required_contracts} contratos comerciais
knowledge.blocked_reason.books_required,Livros: {number_of_books} / {required_books}
knowledge.blocked_reason.soldiers_required,Guerreiros: {number_of_soldiers} / {required_soldiers}
knowledge.blocked_reason.matriarch_relation_required,Opinião da Matriarca: {number_of_relation} / {required_relation}
map.maniac_in_bandit_camp,Anônimo no campo de bandidos
map.menu.quest.manuac_captived,O anônimo foi capturado
actor.part_of_nature.trader,Comerciante
actor.action_task.church_defence,Proteção da Família Amorosa
actor.action_task.bishop_fix_relations,Arrependendo-se do ódio
opinion_mind.repentance_of_hatred,Arrependendo-se do ódio
opinion_mind.church_defence_request,Demonstrou fraqueza ao pedir proteção
knowledge.blocked_reason.caravan_bring_required,Um dos nobres deve conhecer {knowledge_name}.
input.not_bounded,Não atribuído
input.key_already_used,Tecla já usada
opinion_mind.bishop_guest_accept,Abrigou o sacerdote
input.action.quick_save,Salvamento rápido
matriarch.church_defence_active,Dias até o fim da proteção da Família Amorosa: {days}.
actor.part_of_nature.philosoph,Acadêmico
mind.fight_agains_bandit,Martelo de bandidos
opinion_mind.my_master,Meu ídolo
opinion_mind.my_puppet,Minha marionete
mind.made_gift_to_master,Deu um presente a seu ídolo
mind.master_death,Morte de um ídolo
appoint.puppet_action_set,"Como resultado, a lealdade da marionete cairá"
display_event.puppet_become,{puppet} tornou-se marionete de {master}.
display_event.puppet_reset,{puppet} deixou de ser uma marionete.
opinion_mind.forced_to_crime,Forçado a cometer um crime
opinion_mind.forced_to_action,Forçado a agir
actor.opinion.special.master,Ídolo
actor.opinion.special.puppet,Marionete
actor.relations.filter.puppets,Marionetes
opinion_mind_interest.lust,Característica - Luxúria
menu.army.new_army.create.build_hall,Indisponível. Construa um salão.
opinion_mind.forced_puppet_rebellion,Criou uma rebelião da marionete
map.lord_rebellion_puppet,Rebelião da marionete
changelog.header,Quais são as novidades?
display_event.check_problems,Veja a lista de problemas
display_event.lord_dead_in_hostage,{name}: morreu em cativeiro
mind.bad_hunt,Caça fracassada
opinion_mind.bad_hunter,Mau caçador
display_event.bad_hunt_on_global_map,{name}: caça fracassada
beta_branch.title,Versão do jogo
beta_branch.set,Definir e reiniciar
display_event.guest_role_revealed,{guest_name}: revelou intenções
opinion_mind.good_reception,Recebeu meu nobre com consideração.
opinion_mind.bad_reception,Recebeu meu nobre sem consideração.
actor.action_task.slander,Difamação
actor.action_task.praise,Enaltecimento
opinion_mind.made_a_gift,Deu um presente
guest_role.communicative,Sociável
guest_role.duelist,Duelista
guest_role.provoker,Provocador
guest_role.puppet_master,Marionetista
guest_role.manipulator,Manipulador
guest_role.seducer,Sedutor
guest_role.player,Apostador
guest_role.educator,Iluminador
actor.action_task.donate_to_master,Presente ao ídolo
building.fortification_gate,Portão
building.fortification_tower,Torre de defesa
trait.puppet,Marionete
opinion_mind.slander_to_other,Tem uma rixa com outra pessoa
mind.beer_drinking,Embriaguez: cerveja
mind.prayed,Rezou
mind.sleepiness,Sonolência
trait.sleepiness,Sonolência
map.category.agression,Agressão
9map.appoint.sub_category.sudden_attack,Ataques repentinos
trait.sex_desire_weak,Desejo sexual
trait.sex_desire_strong,Obsessão sexual
mind.sex_desire_weak,Desejo sexual
mind.sex_desire_strong,Obsessão sexual
trait.malnutrition,Desnutrição
mind.malnutrition,Desnutrição
opinion_mind.sudden_attacked_me,Atacou-me repentinamente
opinion_mind.sudden_attack_traity,Atacou-me repentina e traiçoeiramente
opinion_mind.sudden_force_neutrality_me,Forçou-me a neutralidade
menu.bodyguard,GUARDA-COSTAS
bodyguard.maximal_count,GUARDAS
bodyguard.minimal_battle_level,Nível mínimo de combate
activity_state.bodyguard_watching,Guarda o nobre
trait.on_bender,Estupor embriagado
notification.on_bender,{name}: começou uma bebedeira!
display_event.sudden_attack,Um ataque repentino! O exército de {faction_name} está a caminho!
bodyguard.status.no_guards,Nenhum guerreiro disponível.
bodyguard.status.active,A proteção estará ativa até às 4h.
bodyguard.status.start_soon,A proteção começará às 23h.
bodyguard.appoint_line_1,Atribuir guarda-costas
bodyguard.appoint_line_2,Guarda-costas {current}/{limit}
actor.general,GERAL
actor.important_feelings,EMOÇÕES FORTES
opinion_mind.my_master_enemy,Inimigo do meu ídolo
opinion_mind_interest.culture,Cultura interessante
trait.crimer,Criminoso
building.menu.terror_slaves,Prisioneiros {count}
building.menu.criminal,Criminosos
menu.migration.change,Migrantes: {count}
mind.crime_in_city,Crimes na cidade
opinion_mind.small_talk,Ter uma conversa casual
wolf.name,Lobo
pig.name,Porco
tech.philosophy_history,História da filosofia
mind.slept_on_ground,Dormiu no chão
building.temple.preach.usual_preach,Sermão de alegria
faction.bums_in_rags,Maltrapilhos
menu.buidling.church.mind_add,Humor +{moral_add}
menu.buidling.church.fanatics_new,Criará fanáticos
menu.buidling.church.agnostics_new,Criará agnósticos
menu.building.church.preach_cost,Custo: <hint=hint_resource_rune>{cost}</hint> (recebido pelo bispo)
trait.duelist,Duelista
trait.intriguan,Trapaceiro
